DATE,5-star %occupancy,4-star %occupancy,3-star %occupancy
15-10-2016,0.0,0.0,0.0
16-10-2016,0.0,0.0,0.0
17-10-2016,0.0,0.0,0.0
18-10-2016,0.0,0.0,0.0
19-10-2016,0.0,0.0,0.0
20-10-2016,0.0,0.0,0.0
21-10-2016,0.0,0.0,0.0
22-10-2016,0.0,0.0,0.0
23-10-2016,0.0,0.0,0.0
24-10-2016,0.0,0.0,0.0
25-10-2016,0.0,0.0,0.0
26-10-2016,0.0,0.0,0.0
27-10-2016,0.0,0.0,0.0
28-10-2016,0.0,0.0,0.0
29-10-2016,0.0,0.0,0.0
30-10-2016,0.0,0.0,0.0
1-11-2016,0.0,0.0,0.0
2-11-2016,0.0,0.0,0.0
3-11-2016,0.0,0.0,0.0
4-11-2016,0.0,0.0,0.0
5-11-2016,0.0,0.0,0.0
6-11-2016,0.0,0.0,0.0
7-11-2016,0.0,0.0,0.0
8-11-2016,8.75,0.0,0.0
Averages:,0.38,0.0,0.0
