date,Deluxe Double %occupancy,Deluxe Twin %occupancy,Deluxe Single %occupancy,Deluxe Family %occupancy,Executie Double %occupancy,Executive Twin %occupancy,Executive Single %occupancy,Classic Double %occupancy,Classic Twin %occupancy,Classic Single %occupancy
3-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-11-2016,17.14,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-11-2016,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-11-2016,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-11-2016,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-11-2016,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Averages:,1.67,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
